"","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"ACUN",6.16684477827296,6.2269226333938,6.285426810133,6.34214993314325,6.397422079777,6.45093139835807,6.50775343282852,6.57066888732352,6.63207990423955,6.75015676861191,6.80727073481303,6.98591255052792,7.05445712894527,7.16922890907325,7.25818265633132,7.37912918141244,7.48617188959311,7.58817177737481,7.59334233545695,7.51868503994959,7.40991527752734,7.48657023965654,7.61755756904926,7.60445944295449,7.56092932315386,7.58129915716636,7.50033395110564,7.60190365220613,7.55060468902955,7.65046472729974,7.5703355148839,7.45536842532066,7.57501093999205,7.43371195023708,7.54019719548757,7.67338456497848,7.56450221747667,7.63915486055949,7.71474436312815,7.86652003138008,7.90666149961589,7.85255619724563,7.93209480540155,7.91313547119637,7.92689763938591,7.9379462235563,7.87171944772593,7.85974397609884,7.78909749087326,7.72264560455248,7.71854525248446
"ADAM",3.13938701989862,3.1925460261772,3.25200073864104,3.30952166049866,3.37185205282577,3.42293708861474,3.47371420257657,3.5410902262148,3.60732701134227,3.72763802326534,3.77557559322135,3.94896988371687,4.01533851733809,4.13271079561408,4.22371568361291,4.35380070682221,4.46201476036922,4.5709154987186,4.57438832754868,4.51213771002049,4.4061720106882,4.48513185770401,4.61559088051105,4.60793420290244,4.65754601082491,4.74196923898663,4.7204060347063,4.88251173386229,4.89243368147583,5.05526368787789,5.02863602369541,4.97522745106545,5.15623690711133,5.08005265505634,5.24309494532228,5.36511524125121,5.24130906104427,5.30946705737037,5.37136410091433,5.51727012855749,5.80857278179827,5.75365892687956,5.83003105467454,5.80961293481459,5.82350575751633,5.82796791690197,5.76195743573221,5.75650084746085,5.68760167790907,5.61852146085213,5.61916522182096
"ADAR",11.4320450300966,11.4852146513791,11.5363661585098,11.5927391701343,11.6513077101363,11.7116324184793,11.7627449031736,11.828339434234,11.8954012180297,12.0207717674968,12.0721055128874,12.2439360643411,12.3103136545062,12.4527428036198,12.4691019612008,12.5135653438462,12.5529642784472,12.5836483537679,12.5128814113948,12.304627488702,12.053502992131,12.3009141898269,12.5957821503465,12.5646151626852,12.5934743141662,12.6501366419207,12.6095651188893,12.7460224452574,12.7324839898458,12.8517258856684,12.7820204300891,12.6861257594713,12.8221091850764,12.7028479349093,12.8284143602379,12.9124719820172,12.7508160661816,12.7776049591771,12.7914964768986,12.8912341113504,12.8811004396869,12.8532519125912,12.957049669454,12.9678669162869,12.982873053522,12.9958281904882,12.937295891258,12.9341106688121,12.8666201297317,12.8020174223773,12.7980017312996
"AKAR",4.54897724923399,4.60018897135432,4.650747796552,4.70568382868795,4.76184348373972,4.81755003747369,4.86760729191395,4.9305811091324,4.99453196104992,5.11608024996284,5.16610493333247,5.3356676780165,5.2930376152872,5.30165589239889,5.28967038201566,5.3431768764228,5.37782486349213,5.41029833872666,5.3419784081262,5.20842796867698,5.03447592340392,5.03913300590479,5.10050266102702,5.02305639849785,5.00037901824515,5.0177939019211,4.92594899224483,5.01436065517361,4.94744548493115,5.04283027880298,4.95186737230168,4.82682453094787,4.93456579703284,4.78960732827331,4.88787617299172,4.94523932340796,4.75421263748245,4.75233898526573,4.74361805248901,4.82464437977387,4.79176282952808,4.7321009985163,4.81196684207362,4.78567512591254,4.79895600046075,4.80221734577903,4.74283600161495,4.73392758325338,4.66246140322528,4.59650454602734,4.5934995213981
"ALAS",4.93206010259058,4.98646545256065,5.03644765562045,5.09078000483463,5.14133444280789,5.19858075429681,5.2474877358545,5.31089100537454,5.38114476815668,5.50385656227697,5.55458148428648,5.7250244764902,5.78915854205729,5.89554159921128,5.98203142452305,6.10696945160044,6.21338949447948,6.31479568680749,6.31722345668657,6.25120484804945,6.14934847399434,6.22841194057725,6.36062041315258,6.34585414721818,6.39527805378239,6.4740773415092,6.4490806234509,6.60563151307939,6.61190139398989,6.77138099684894,6.74584166629309,6.69023873783658,6.86751415978993,6.79229050710227,6.95905829832263,7.08085034833956,6.95663440777677,7.02582600161092,7.09117635482883,7.18001461999651,7.15547612433011,7.09759105321952,7.17160988502709,7.14593376544375,7.15842346107501,7.17181453499992,7.10410350152293,7.09398888004818,7.02553192413941,6.95852754694329,6.95943268373201
"AMBU",7.54947393251673,7.6017295181717,7.65814042311188,7.70886259875174,7.7675592883574,7.82045306662464,7.8704242726321,7.92554964652152,7.98491196239758,8.10229627935018,8.15322866744285,8.32444658920154,8.39045303686794,8.50256045565594,8.58596364000576,8.70815113593484,8.8156918099888,8.91629498738725,8.91849873172,8.84910676124979,8.74193868087484,8.82225832550585,8.95463694857767,8.9395145663639,8.98549084532473,9.06425609050201,9.04249783304417,9.19964158565378,9.20908636442082,9.37018036898218,9.34639144603361,9.29495843409216,9.46713970997436,9.3924261828569,9.55688065317059,9.68237677454168,9.56331198776881,9.62992507509904,9.69078710682087,9.83967191814406,9.87243537750737,9.82088332139083,9.90373297508644,9.88026069644718,9.88914972466178,9.89724809810728,9.8357615619114,9.82511153357,9.75057063441035,9.67875097328292,9.67732877926381
"AMPH",7.54376526984341,7.59758813229695,7.65065649160995,7.70877186950654,7.7669920431672,7.81493404752547,7.8668534106636,7.92900349504823,7.99996456609792,8.12646732277906,8.17819631053443,8.34935723237082,8.41542126123609,8.52940616358753,8.57877204938043,8.66540883112608,8.7297678427842,8.79070334690074,8.76262379502927,8.66086386823715,8.52067712972291,8.56027810041254,8.65634715415085,8.61003235689513,8.62445472523751,8.66410914365685,8.60624377831437,8.73202406794628,8.70794578526222,8.83443951657479,8.77121265932808,8.68232320632111,8.81945680589173,8.71430573373522,8.84424411621389,8.93556687810964,8.77978198202481,8.81306079656462,8.84029768961296,8.95430628728151,8.95861392246655,8.90073977106265,8.98357383234113,8.96392036815442,8.978541661193,8.98463877061169,8.91386707887681,8.90667220525632,8.84065910278773,8.77691414285735,8.77542994786954
"ANCH",5.3075016664819,5.36198433619616,5.41079513983718,5.46773152015022,5.5200173163115,5.57250824647861,5.62163413403558,5.63047143955953,5.63856219404237,5.70173164305562,5.6909654660653,5.80131258540314,5.80852633742307,5.8600264931774,5.89190858122743,5.95622899084969,6.00742821927024,6.05416849227159,6.00032022031335,5.87152496865047,5.70892573646317,5.72587853279706,5.79369174455814,5.72373640443531,5.71575615752896,5.74070966526645,5.6597885261119,5.755242096274,5.70519655751903,5.80616148324311,5.72143785020137,5.61242519368451,5.73261086674566,5.60283662824584,5.71038031930368,5.7829757286209,5.6101536429109,5.61969897471424,5.62977986024452,5.72383365463279,5.69453171989876,5.63775182116552,5.71615454290758,5.69200419228824,5.69655438677478,5.70687151399829,NA,NA,NA,NA,NA
"ANDI",3.69169392811619,3.74994802998649,3.80636248282443,3.86374774535595,3.91774959049205,3.97168217610648,4.02543301764972,4.08812263807653,4.15100527964506,4.27130619480929,4.32025425789376,4.4875440746096,4.55754828236699,4.67067367971526,4.75123098126128,4.86884531882476,4.97603018365551,5.06977852705289,5.07393664217565,5.00162356225438,4.89559816239663,4.97409670630094,5.09759304523699,5.08293506938366,5.13393788229837,5.21203583013584,5.18843576313551,5.35129965301463,5.35637838652695,5.52193877416016,5.49538508352066,5.44040251431316,5.61541017448924,5.53664360466863,5.69605140895044,5.82303608750171,5.70190296243859,5.76425166657196,5.63805599869705,5.60753400522246,5.59828933541029,5.54822515079558,5.63835716295846,5.67410507087957,5.73984024333569,5.80435798657985,5.73990034316936,5.73618548993509,5.66898188080128,5.60511385986215,5.60379113007457
"ANDR",6.77073767878526,6.82608864473267,6.87701999013148,6.92580818561516,6.97974915138612,7.02895628553714,7.0818769575703,7.14296562182876,7.20564435595339,7.32166230730216,7.36629093083726,7.53450181814006,7.59750838586032,7.7080455221101,7.72470486700344,7.78215383232,7.81315476741784,7.8452504862646,7.7782929887558,7.63643634464962,7.45949946692937,7.46785922910755,7.53254426259918,7.44943537882475,7.43316319033757,7.44033891923855,7.34067572611069,7.42316654188879,7.36569058870648,7.46062512371939,7.36102549165169,7.23449483656783,7.34269413417876,7.19680007267368,7.29334465369941,7.34873903211503,7.15208442449004,7.14619854902211,6.99381587402509,7.03805321187881,6.95731191196613,6.84405872844455,6.86212468079956,6.86272598991208,6.90214297042822,6.93678964294704,6.87030571690552,6.85692284418234,6.78338297498659,6.70969435251053,6.70765989563746
"ANDS",6.45664560498515,6.51379115181084,6.56950522163818,6.62505986155778,6.67614928317306,6.72665458215589,6.78326050573037,6.84228631295827,6.90436943633093,7.02660035557025,7.07830862781976,7.24473930957425,7.31196544738402,7.42489850513818,7.5123307341383,7.63266748176488,7.74228291686682,7.84473509435972,7.8514571524868,7.78663215529328,7.67923755662492,7.75328829434676,7.88308480509168,7.87079932391146,7.92339815751526,8.00021099050907,7.97430907268402,8.1362003586512,8.1435106465336,8.30064748667352,8.2713178422742,8.2188384949563,8.39688858883196,8.31675330178091,8.48250928278025,8.61188264092701,8.4326007327179,8.44611744680492,8.44771071768302,8.54263980228163,8.5193110151239,8.46663875700864,8.54374472896509,8.52575583149795,8.5324439420208,8.53614726768534,8.46806051671597,8.45771813362431,8.3896881034325,8.32405491915106,8.32275394224247
