trend_order,ts_order
CHAT,PLEN
PEPO,HANN
DURO,DURO
AVIA,CHAT
CONE,DUTH
PAUL,RHYO
BRAS,BRAS
DUTH,HERO
VIEU,DARW
RHYO,EDEN
ANCH,PEPO
GING,BROW
HOLD,CONE
HOPE,EMPE
EMPE,EARL
TAYH,AVIA
DARW,JOUB
EDEN,RRRI
HERO,PAUL
BROW,TURR
GERL,SHEN
WINK,GOUR
EARL,SHEP
RRRI,DEVI
DETA,SAXU
DEVI,ANDI
DARB,VORT
JOUB,REDI
ANDR,PPPT
TURR,LAGO
FIZK,VIEU
YALO,MADI
LAGO,BOWL
SHEN,KING
SHEP,BONG
GOUR,COCK
ANDI,FLIE
BONG,ETNA
SAXU,AMBU
VORT,MADD
REDI,HOLD
SOMI,SMIG
PPPT,TRUN
BERT,NESM
MADI,WELL
BOWL,KUNO
CHIS,EVER
ARMS,JING
COCK,LAKT
FLIE,PLAT
KING,GING
AMBU,HOPE
ETNA,ANCH
NESM,DURV
PETE,BEAG
EVER,PEIN
MADD,TAYH
KUNO,DETA
SMIG,GERL
JING,WINK
LAKT,ANDR
TRUN,DARB
WELL,YALO
PLAT,FIZK
LION,PETE
FISH,BERT
ARDL,SOMI
HANN,ARDL
DREA,ARMS
CORM,PENG
DURV,LAVO
BEAG,FISH
PEIN,EVEN
LLAN,PTHO
HUMB,BISC
LAVO,LION
BISC,DREA
BARC,CORM
EVEN,LITC
PLEN,PCHA
PCHA,CHIS
PENG,BARC
TSIS,HUMB
LITC,TSIS
PTHO,STRA
STRA,TORG
TORG,LLAN
